analysis,n,px_per_mm,mae_mm,rmse_mm,r,icc2_1,icc2_1_ci_low,icc2_1_ci_high,bias_mm,loa_low_mm,loa_high_mm,correction,kappa_linear,images_with_zeroed_columns
"GT masks, holdout, C_p25 (selected)",58,16.839653402722718,0.5181298868382679,0.7175487126428733,0.8606139593043148,0.8584131325066706,0.7725067460038976,0.913561788185769,0.1163760752232235,-1.283519640866398,1.5162717913128454,,,
"GT masks, holdout, A_p25 (sensitivity: no fallback)",58,17.035765060458942,0.5370693544055085,0.7438637773605311,0.8494405005165412,0.8431199485735584,0.7462454324799472,0.9046303101827788,0.186984659817295,-1.2364993517143417,1.6104686713489318,,,
"GT masks, holdout: without dash-zero rows",45,16.839653402722718,0.4726566764445069,0.602937907080129,0.8811053962319939,0.8814143573395768,0.7948939962023626,0.9329133740761484,0.0773257864776754,-1.1079170035670862,1.2625685765224373,,,
"GT masks, holdout: only 2698x1799 (+/-2 px) frames",48,16.839653402722718,0.4642520213477519,0.5911842730246808,0.9085202749310644,0.9052126457558858,0.8373181411154658,0.9456651902510244,0.0585884775558996,-1.1066300328295156,1.2238069879413147,,,
"GT masks, dev + holdout (scale still from dev)",145,16.839653402722718,0.5417368854322817,0.7560739416282249,0.8723138030443148,0.8677803156397889,0.8192897078989229,0.9036641215671322,0.1504030480976927,-1.306919116906788,1.6077252131021735,,,
"Predicted masks (OOF, fold models), all reference images, C_p25 — uncorrected (PRIMARY)",144,16.839653402722718,0.8394868604632811,0.9988174650938346,0.8746949490450548,0.7842994342744116,0.2876032000463912,0.9089701308449056,0.6844659413950476,-0.7462575390630475,2.115189421853142,"none, PRIMARY",0.5936030103480714,0.0
"Predicted masks (OOF, fold models), all reference images, C_p25 — corrected, mask-level lower edge (secondary)",144,16.839653402722718,0.4760381965338632,0.7192065328497145,0.8775113313101361,0.8731698066383735,0.8280844398982845,0.907047629966296,-0.0537552627303887,-1.4643635868758758,1.3568530614150982,"lower gingiva edge -13 px at mask level (-0.77 mm at 16.84 px/mm), secondary",0.7524126455906822,78.0
"Predicted masks (OOF), Stage-3 holdout images, C_p25 — uncorrected",57,16.839653402722718,0.7570080334736693,0.9173069914493294,0.8940360015096035,0.7967561827005144,0.1912886659946573,0.9257659107157808,0.67014175833514,-0.5684923446147704,1.9087758612850505,"none, PRIMARY",0.6110421836228288,0.0
"Predicted masks (OOF), Stage-3 holdout images, C_p25 — corrected",57,16.839653402722718,0.4264908519053432,0.6055820814006249,0.8938638812546011,0.8950457069211784,0.8282315397473957,0.9367868133419424,-0.0392477457978634,-1.2342218419392204,1.1557263503434934,"lower gingiva edge -13 px at mask level (-0.77 mm at 16.84 px/mm), secondary",0.7939262472885033,32.0
"Predicted masks (final model), test-set high images, C_p25 — uncorrected",29,16.839653402722718,0.9527592461956518,1.1076704243105249,0.804366483142421,0.7305622166223787,0.3436373666695849,0.8836378484145281,0.6468624811005246,-1.1467011616283491,2.4404261238293987,"none, PRIMARY",0.4013761467889908,0.0
"Predicted masks (final model), test-set high images, C_p25 — corrected",29,16.839653402722718,0.468955915751632,0.8924423062893188,0.807620208762973,0.8028569461278466,0.6226826902644782,0.9022651681747214,-0.094577816761554,-1.864701555494492,1.6755459219713835,"lower gingiva edge -13 px at mask level (-0.77 mm at 16.84 px/mm), secondary",0.64,17.0
