uid,image,patient_id,group,width,height,frame_ok,orig_split,file_name,ref_mm,model,seed,selected_method,selected_px_per_mm,selected_mm,qc_flags,n_gingiva_instances,n_lip_instances,n_ignored,gingiva_mask_iou,gingiva_boundary_iou,gingiva_top_edge_mae_px,gingiva_top_edge_bias_px,gingiva_bottom_edge_mae_px,gingiva_bottom_edge_bias_px,lip_mask_iou
high/IMG_6921_jpg,IMG_6921_jpg,high/IMG_6921_jpg,high,2697,1798,True,train,IMG_6921_jpg.rf.7TmV9d3wKWR122qmB5ao.jpg,2.5318333333333336,rfdetr-seg-large@432,43,C_p25,16.8422,3.8494575134681535,zenith_detection_failed,1,1,0,0.8711080116503261,0.4522217071717105,2.990314769975787,-0.7215496368038741,5.774818401937046,0.5786924939467313,0.8831331151314606
high/IMG_6460-_jpg,IMG_6460-_jpg,high/IMG_6460-_jpg,high,2599,1733,False,train,IMG_6460-_jpg.rf.ABuksIVsUNUinwYDcg4g.jpg,1.1495,rfdetr-seg-large@432,43,C_p25,16.8422,1.9890513115863726,frame_uncertain,1,1,0,0.7799787106030454,0.4002862905849437,3.7299771167048057,-2.4988558352402745,7.064073226544623,1.665903890160183,0.8762793657527709
high/IMG_3079_jpg,IMG_3079_jpg,high/IMG_3079_jpg,high,2698,1799,True,train,IMG_3079_jpg.rf.AhpM07WzRmAy3Gk2Hh2w.jpg,2.7695000000000003,rfdetr-seg-large@432,43,C_p25,16.8422,3.5921672940589713,,1,1,0,0.8540203075461947,0.4066429418742586,3.4415730337078654,2.542696629213483,7.421348314606742,1.2820224719101123,0.8398153985419394
high/IMG_2574_jpeg,IMG_2574_jpeg,high/IMG_2574_jpeg,high,2698,1799,True,train,IMG_2574_jpeg.rf.BxSl29BjwCeRerktqKh4.jpeg,2.7046666666666668,rfdetr-seg-large@432,43,C_p25,16.8422,3.53774051687626,,1,1,0,0.8659205930572386,0.42982359060625513,2.9507299270072993,1.7627737226277371,9.697992700729927,-5.885948905109489,0.8650036055203729
high/IMG_6855-_jpg,IMG_6855-_jpg,high/IMG_6855-_jpg,high,2699,1800,True,train,IMG_6855-_jpg.rf.JChf1vkNuLkbcmZVpQZ2.jpg,4.747833333333333,rfdetr-seg-large@432,43,C_p25,16.8422,3.6911250707548104,"gingiva_multi_component,region_zero,zenith_detection_failed",2,1,0,0.8567145984675092,0.3295102478551001,5.332920792079208,0.4665841584158416,8.358910891089108,4.893564356435643,0.8282401002469959
high/IMG_6519-_jpg,IMG_6519-_jpg,high/IMG_6519-_jpg,high,2699,1799,True,train,IMG_6519-_jpg.rf.Ksz6iMGeBS9qHV5NASD2.jpg,5.754166666666666,rfdetr-seg-large@432,43,C_p25,16.8422,7.194230365787527,zenith_detection_failed,1,1,0,0.8804639386317488,0.2810319248310347,5.705882352941177,-3.7409261576971216,11.546933667083854,8.918648310387985,0.8254928153657304
high/IMG_3811-_jpg,IMG_3811-_jpg,high/IMG_3811-_jpg,high,2699,1799,True,train,IMG_3811-_jpg.rf.LX918lp9AYmOQ96rCcUO.jpg,3.4345,rfdetr-seg-large@432,43,C_p25,16.8422,4.611432394026117,,1,1,0,0.8355872194371962,0.2767110170345731,5.255765199161425,-2.0,9.50104821802935,3.790356394129979,0.8608509246186163
high/IMG_2855_jpg,IMG_2855_jpg,high/IMG_2855_jpg,high,2699,1799,True,train,IMG_2855_jpg.rf.QizKdEuMw0HcwoQg5Moq.jpg,2.5565,rfdetr-seg-large@432,43,C_p25,16.8422,3.43878274018042,,1,1,0,0.8549927563449053,0.3909990424513246,4.473096446700508,-0.3086294416243655,6.407106598984772,-1.3634517766497463,0.8911778542600342
high/IMG_3129_jpg,IMG_3129_jpg,high/IMG_3129_jpg,high,2698,1799,True,train,IMG_3129_jpg.rf.TwjORkVtba1crTLeUsVr.jpg,4.470833333333333,rfdetr-seg-large@432,43,C_p25,16.8422,5.200231165366362,,1,2,0,0.8930253183267521,0.4320025965595586,2.8578088578088576,0.8811188811188811,8.533799533799534,-2.1445221445221447,0.771889666529436
high/IMG_3059_jpg,IMG_3059_jpg,high/IMG_3059_jpg,high,2698,1799,True,train,IMG_3059_jpg.rf.UJoHU3GlWeyorDKuPV0d.jpg,2.906166666666667,rfdetr-seg-large@432,43,C_p25,16.8422,2.9588375232055992,zenith_detection_failed,1,1,0,0.8701081283359265,0.5172185945273632,2.502557544757033,-1.3337595907928388,5.873401534526854,2.213554987212276,0.8759963300647973
