uid,image,patient_id,group,width,height,frame_ok,orig_split,file_name,ref_mm,model,seed,selected_method,selected_px_per_mm,selected_mm,qc_flags,n_gingiva_instances,n_lip_instances,n_ignored,gingiva_mask_iou,gingiva_boundary_iou,gingiva_top_edge_mae_px,gingiva_top_edge_bias_px,gingiva_bottom_edge_mae_px,gingiva_bottom_edge_bias_px,lip_mask_iou
high/IMG_6921_jpg,IMG_6921_jpg,high/IMG_6921_jpg,high,2697,1798,True,train,IMG_6921_jpg.rf.7TmV9d3wKWR122qmB5ao.jpg,2.5318333333333336,yolo11x-seg@1024,44,C_p25,16.8422,3.4288869625108362,,1,1,0,0.8199920843021817,0.2993722130955175,3.0246478873239435,-1.261737089201878,11.96830985915493,11.625586854460094,0.8338137353929032
high/IMG_6460-_jpg,IMG_6460-_jpg,high/IMG_6460-_jpg,high,2599,1733,False,train,IMG_6460-_jpg.rf.ABuksIVsUNUinwYDcg4g.jpg,1.1495,yolo11x-seg@1024,44,C_p25,16.8422,2.1770710873084673,frame_uncertain,1,1,0,0.7073804682750959,0.29834535172496335,3.748283752860412,1.4462242562929062,11.494279176201372,10.148741418764303,0.8063365103692706
high/IMG_3079_jpg,IMG_3079_jpg,high/IMG_3079_jpg,high,2698,1799,True,train,IMG_3079_jpg.rf.AhpM07WzRmAy3Gk2Hh2w.jpg,2.7695000000000003,yolo11x-seg@1024,44,C_p25,16.8422,4.047373066859833,,1,1,0,0.8143714123183534,0.29875711782742004,4.042437431991295,3.411316648531012,11.513601741022851,9.890097932535365,0.7839808700287245
high/IMG_2574_jpeg,IMG_2574_jpeg,high/IMG_2574_jpeg,high,2698,1799,True,train,IMG_2574_jpeg.rf.BxSl29BjwCeRerktqKh4.jpeg,2.7046666666666668,yolo11x-seg@1024,44,C_p25,16.8422,3.923675845990033,,1,1,0,0.8558275572631379,0.3734425448005374,4.724651162790698,3.5004651162790696,8.413953488372092,1.805581395348837,0.8444208377021136
high/IMG_6855-_jpg,IMG_6855-_jpg,high/IMG_6855-_jpg,high,2699,1800,True,train,IMG_6855-_jpg.rf.JChf1vkNuLkbcmZVpQZ2.jpg,4.747833333333333,yolo11x-seg@1024,44,C_p25,16.8422,4.294767508599431,"gingiva_multi_component,region_zero,zenith_detection_failed",2,1,0,0.8051277384716883,0.23974967630556754,5.5477031802120145,0.9893992932862191,16.394581861012956,15.193168433451119,0.8139034602569236
high/IMG_6519-_jpg,IMG_6519-_jpg,high/IMG_6519-_jpg,high,2699,1799,True,train,IMG_6519-_jpg.rf.Ksz6iMGeBS9qHV5NASD2.jpg,5.754166666666666,yolo11x-seg@1024,44,C_p25,16.8422,6.590587927942906,,1,1,0,0.8431403774185843,0.20511116790186557,5.16501240694789,-3.0781637717121586,17.71588089330025,16.79528535980149,0.8172948188904172
high/IMG_3811-_jpg,IMG_3811-_jpg,high/IMG_3811-_jpg,high,2699,1799,True,train,IMG_3811-_jpg.rf.LX918lp9AYmOQ96rCcUO.jpg,3.4345,yolo11x-seg@1024,44,C_p25,16.8422,5.190335387696778,,1,1,0,0.8008518845937475,0.2173716299895208,5.023834196891192,-0.3005181347150259,14.766839378238341,14.429015544041452,0.8151364160161005
high/IMG_2855_jpg,IMG_2855_jpg,high/IMG_2855_jpg,high,2699,1799,True,train,IMG_2855_jpg.rf.QizKdEuMw0HcwoQg5Moq.jpg,2.5565,yolo11x-seg@1024,44,C_p25,16.8422,3.844509624633362,,1,1,0,0.8083386196002338,0.25478977481497034,5.729701952723535,0.3997944501541624,9.239465570400823,6.641315519013361,0.8318385650224215
high/IMG_3129_jpg,IMG_3129_jpg,high/IMG_3129_jpg,high,2698,1799,True,train,IMG_3129_jpg.rf.TwjORkVtba1crTLeUsVr.jpg,4.470833333333333,yolo11x-seg@1024,44,C_p25,16.8422,5.709863715349935,,1,1,0,0.9019234704317577,0.4586885849230203,1.3962703962703962,0.4801864801864802,9.37995337995338,5.165501165501166,0.6557360091031343
high/IMG_3059_jpg,IMG_3059_jpg,high/IMG_3059_jpg,high,2698,1799,True,train,IMG_3059_jpg.rf.UJoHU3GlWeyorDKuPV0d.jpg,2.906166666666667,yolo11x-seg@1024,44,C_p25,16.8422,3.3373510190671847,zenith_detection_failed,1,1,0,0.7894691216755089,0.2884420135591,4.144121365360303,-3.127686472819216,10.737041719342605,10.29709228824273,0.7474696025806788
high/IMG_2796_jpg,IMG_2796_jpg,high/IMG_2796_jpg,high,2698,1799,True,train,IMG_2796_jpg.rf.a44wKxh9iZamfUDXv4dh.jpg,5.686333333333334,yolo11x-seg@1024,44,C_p25,16.8422,6.798399259004169,,1,1,0,0.9009278357441833,0.342476717112922,5.437842778793419,4.618829981718465,8.021937842778794,3.786106032906764,0.7660864792124088
